pct.1,pct.2,cell type,coeff,gene
0.228,0.029,Stromal,0.9837735034,Tnmd
0.475,0.076,Stromal,0.9837735034,Fmod
0.392,0.031,Stromal,0.9837735034,Ucma
0.317,0.044,Stromal,0.9837735034,Rcan1
0.985,0.788,Stromal,0.9837735034,mt-Rnr2
0.521,0.069,Stromal,0.9837735034,Col9a2
0.312,0.026,Stromal,0.9837735034,Cytl1
0.479,0.058,Stromal,0.9837735034,Col9a3
0.525,0.186,Stromal,0.9837735034,Aspn
0.298,0.064,Stromal,0.9837735034,C1qtnf3
0.153,0.012,Stromal,0.9837735034,Thbs4
0.47,0.063,Stromal,0.9837735034,Col9a1
0.603,0.146,Stromal,0.9837735034,Igf2
0.201,0.012,Stromal,0.9837735034,Stfa2
0.552,0.256,Stromal,0.9837735034,Postn
0.194,0.023,Stromal,0.9837735034,Chodl
0.225,0.065,Stromal,0.9837735034,Col12a1
0.818,0.481,Stromal,0.9837735034,mt-Rnr1
0.179,0.01,Stromal,0.9837735034,Stfa2l1
0.835,0.402,Stromal,0.9837735034,Meg3
0.68,0.17,Stromal,0.9837735034,Dlk1
0.223,0.054,Stromal,0.9837735034,1500015O10Rik
0.729,0.308,Stromal,0.9837735034,Itm2a
0.257,0.058,Stromal,0.9837735034,Capn6
0.344,0.097,Stromal,0.9837735034,Mest
0.518,0.066,Stromal,0.9837735034,3110079O15Rik
0.271,0.075,Stromal,0.9837735034,Plagl1
0.448,0.212,Stromal,0.9837735034,2410006H16Rik
0.223,0.064,Stromal,0.9837735034,Lcn2
0.508,0.316,Stromal,0.9837735034,Hspa1a
0.363,0.1,Stromal,0.9837735034,Col2a1
0.182,0.048,Stromal,0.9837735034,Tnc
0.358,0.053,Stromal,0.9837735034,Chad
0.368,0.056,Stromal,0.9837735034,Comp
0.317,0.145,Stromal,0.9837735034,Timp1
0.47,0.28,Stromal,0.9837735034,Ier3
0.225,0.141,Stromal,0.9837735034,Gm42418
0.199,0.062,Stromal,0.9837735034,Peg3
0.167,0.055,Stromal,0.9837735034,Fibin
0.354,0.117,Stromal,0.9837735034,Col11a1
0.22,0.084,Stromal,0.9837735034,Retnlg
0.293,0.1,Stromal,0.9837735034,Col11a2
0.232,0.063,Stromal,0.9837735034,Hbegf
0.363,0.223,Stromal,0.9837735034,Zfas1
0.259,0.114,Stromal,0.9837735034,Id1
0.462,0.299,Stromal,0.9837735034,Hes1
0.242,0.106,Stromal,0.9837735034,Ptn
0.172,0.06,Stromal,0.9837735034,Pdlim4
0.165,0.046,Stromal,0.9837735034,Rn7sk
0.896,0.712,Stromal,0.9837735034,Gnas
0.806,0.213,Stromal,0.9837735034,H19
0.155,0.084,Stromal,0.9837735034,Col16a1
0.228,0.121,Stromal,0.9837735034,Snhg1
0.615,0.433,Stromal,0.9837735034,Npm1
0.235,0.111,Stromal,0.9837735034,Tgfbi
0.286,0.11,Stromal,0.9837735034,Hmox1
0.206,0.113,Stromal,0.9837735034,Thbs2
0.269,0.142,Stromal,0.9837735034,Penk
0.816,0.69,Stromal,0.9837735034,Rps18
0.692,0.548,Stromal,0.9837735034,Gas5
0.262,0.146,Stromal,0.9837735034,Tnfrsf12a
0.92,0.798,Stromal,0.9837735034,Rplp0
0.199,0.102,Stromal,0.9837735034,Grb10
0.247,0.141,Stromal,0.9837735034,Cthrc1
0.363,0.266,Stromal,0.9837735034,Gm4149
0.45,0.35,Stromal,0.9837735034,Hsp90aa1
0.755,0.605,Stromal,0.9837735034,Rpl28
0.254,0.053,Stromal,0.9837735034,Cnmd
0.964,0.897,Stromal,0.9837735034,Rpl18a
0.908,0.815,Stromal,0.9837735034,Rps2
0.375,0.261,Stromal,0.9837735034,Emp1
0.375,0.284,Stromal,0.9837735034,Hspb1
0.223,0.122,Stromal,0.9837735034,Lyz2
0.165,0.121,Stromal,0.9837735034,Hspa1b
0.157,0.076,Stromal,0.9837735034,Cd44
0.356,0.267,Stromal,0.9837735034,Lmna
0.663,0.574,Stromal,0.9837735034,Hsp90ab1
0.206,0.052,Stromal,0.9837735034,Hapln1
0.189,0.129,Stromal,0.9837735034,Hmgn2
0.862,0.684,Stromal,0.9837735034,mt-Co1
0.525,0.423,Stromal,0.9837735034,Pabpc1
0.237,0.151,Stromal,0.9837735034,Ccnl1
0.383,0.228,Stromal,0.9837735034,Ifrd1
0.206,0.131,Stromal,0.9837735034,Nop58
0.973,0.898,Stromal,0.9837735034,Rps14
0.809,0.676,Stromal,0.9837735034,Rpl36a
0.961,0.882,Stromal,0.9837735034,Rpl32
0.324,0.2,Stromal,0.9837735034,Cdkn1a
0.77,0.751,Stromal,0.9837735034,Rps28
